Horizonte,Bloco,Modelo,Segmento,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED
H1,Validação,Random Forest grade original,REFINO / RTC,16,0.23825529464856665,19801.14439199181,24878.905439272134,0.33277706103300553,-17138.48163410065,-0.20621707062613634,9903358973.699913,14842653624.9375
H1,Validação,Ridge + Brent e Câmbio,BIOCOMBUSTÍVEIS,3,6.155265776963786,1354.158470932033,1532.2381588173018,-6437.08165082953,1354.158470932033,6.155265776963786,7043261.326007506,1094.0
H1,Validação,Ridge + Brent e Câmbio,CORPORATIVO / OUTROS NEGÓCIOS,16,2.482187488630175,2205.113310211832,2948.978350179753,-7.337576218592066,1246.5112985015126,1.4031363990448995,139143572.95726234,16688731.75
H1,Validação,Ridge + Brent e Câmbio,DISTRIBUIÇÃO,3,0.48930130259860694,6886.915834075393,8463.802152278044,0.1830910912924042,6886.915834075393,0.48930130259860694,214907840.61871934,263074424.0
H1,Validação,Ridge + Brent e Câmbio,E&P,16,0.17390439432772958,5267.640187359448,7124.8333559498415,-0.21242270736876856,61.74442680394395,0.0020384131726041907,812212005.6008878,669908275.9375
H1,Validação,Ridge + Brent e Câmbio,GÁS & ENERGIA / G&EBC,16,0.34903295984241384,3412.4734338192898,4362.560690435558,0.1228861486192715,-18.699411480370145,-0.0019126041749136828,304510972.44373715,347173826.9375
H1,Validação,Ridge + Brent e Câmbio,REFINO / RTC,16,0.12279196801887682,10205.109995582832,12638.817548421446,0.8278046898525979,-4482.318919098949,-0.05393305526374884,2555835344.356574,14842653624.9375
H1,Validação,Ridge Contábil,BIOCOMBUSTÍVEIS,3,1.8564121651359555,408.41067632991025,493.70456115533216,-667.4027249695954,253.0773429965769,1.1503515590753495,731232.5811167373,1094.0
H1,Validação,Ridge Contábil,CORPORATIVO / OUTROS NEGÓCIOS,16,1.1732767255642218,1042.3097110731155,1647.8589923268119,-1.603375066980591,-97.81822101907903,-0.11010915550198849,43447028.13747737,16688731.75
H1,Validação,Ridge Contábil,DISTRIBUIÇÃO,3,0.44312368147880443,6236.965816814172,8718.872042902709,0.13311151409560307,6236.965816814172,0.44312368147880443,228056189.10153136,263074424.0
