Horizonte,Modelo,Feature,N_Janelas,Beta_Medio,Beta_DP,Beta_Min,Beta_Max,Abs_Beta_Medio,Consistencia_Sinal,Mudancas_Sinal,Importancia_Media,Top5_Frequencia,Rank_Medio
H1,Ridge Contábil,Segmento=REFINO / RTC,30,1756.6747519102573,441.3808428800741,619.1508129884688,2526.069567479705,1756.6747519102573,1.0,0,0.04208342671551226,0.8,5.3
H1,Ridge Contábil,Trimestre_Cos,30,-648.813053026566,101.51505170401308,-801.579309647457,-494.5404018973888,648.813053026566,1.0,0,0.015274579275573208,0.0,8.933333333333334
H1,Ridge Contábil,Trimestre_Sin,30,54.6018956000429,57.342674672341104,-89.66789014920177,137.9842023804576,70.76593560346184,0.9,2,0.001762365676793599,0.0,19.3
H1,Ridge + Brent e Câmbio,Brent_BRL_t,30,216.18694717166215,312.8600470787411,-312.7572960693568,760.9247234300209,287.8663278293397,0.6333333333333333,6,0.009222354453499374,0.0,21.9
H1,Ridge + Brent e Câmbio,Brent_Var_AA,30,1195.8098185023794,460.53903128027986,517.644738557617,1737.0601576064962,1195.8098185023794,1.0,0,0.034588604999292186,0.43333333333333335,8.666666666666666
H1,Ridge + Brent e Câmbio,Brent_t,30,794.8480899148046,130.9483973445486,464.05929029199325,997.7923849274993,794.8480899148046,1.0,0,0.023549193854982043,0.0,11.833333333333334
H1,Ridge + Brent e Câmbio,Brent_t_1,30,-1137.250051013685,199.56863531116474,-1357.9154209234655,-801.7320327930333,1137.250051013685,1.0,0,0.0335177707921803,0.06666666666666667,8.4
H1,Ridge + Brent e Câmbio,Brent_t_4,30,395.80980263425937,289.76587570895276,-119.93632913680099,805.6508684538543,420.87013467172005,0.8666666666666667,1,0.012125511727596187,0.0,18.8
H1,Ridge + Brent e Câmbio,Custo_t,30,7739.142487484128,1970.4990860303574,5023.469365219848,9957.356596855794,7739.142487484128,1.0,0,0.22639928148489438,1.0,1.0
H1,Ridge + Brent e Câmbio,Custo_t_1,30,3163.259394795044,893.0895006289749,1808.4680221117515,4440.431164023876,3163.259394795044,1.0,0,0.09238502298127911,1.0,3.4
H1,Ridge + Brent e Câmbio,Custo_t_4,30,1484.7905244421117,393.59662074242965,637.2876613259219,2117.954572132306,1484.7905244421117,1.0,0,0.04467898218213928,0.4666666666666667,6.733333333333333
H1,Ridge + Brent e Câmbio,Despesas_t,30,-1090.7986697763968,290.0888763603884,-1962.5626995122266,-828.2285397588645,1090.7986697763968,1.0,0,0.033053693076189654,0.03333333333333333,8.266666666666667
H1,Ridge + Brent e Câmbio,Despesas_t_1,30,-422.9381666032523,92.93239536383388,-701.2634427085228,-270.7413566802678,422.9381666032523,1.0,0,0.012733973620731023,0.0,17.733333333333334
H1,Ridge + Brent e Câmbio,Despesas_t_4,30,-249.47627194298832,77.70372069596121,-368.70844467026495,-74.79147958366062,249.47627194298832,1.0,0,0.007655420022944531,0.0,21.666666666666668
H1,Ridge + Brent e Câmbio,EBIT_t,30,-520.3249791547022,493.21925953727197,-1919.461203132004,-68.28540493346567,520.3249791547022,1.0,0,0.016074260794529595,0.0,18.233333333333334
H1,Ridge + Brent e Câmbio,EBIT_t_1,30,-1243.036541652224,289.4253317041426,-1590.277333998261,-654.1466212279483,1243.036541652224,1.0,0,0.03654133389356248,0.0,7.9
H1,Ridge + Brent e Câmbio,EBIT_t_4,30,-86.24034350333906,279.70216117674346,-434.8371313584946,450.54755483072887,266.36001856623955,0.6666666666666666,1,0.007729556682502441,0.0,22.366666666666667
H1,Ridge + Brent e Câmbio,Receita_t,30,6001.150519415785,1209.7972541858703,3862.837560989522,7300.619850920819,6001.150519415785,1.0,0,0.17668704816092592,1.0,2.0
H1,Ridge + Brent e Câmbio,Receita_t_1,30,880.3430735797058,336.64020326096335,277.4016626645857,1508.1282514129548,880.3430735797058,1.0,0,0.026011222252902092,0.03333333333333333,11.466666666666667
H1,Ridge + Brent e Câmbio,Receita_t_4,30,870.4886609352905,602.8370549013097,-383.6532570894456,1734.6275875228944,896.0655447412535,0.9666666666666667,2,0.02824393442164329,0.0,12.4
H1,Ridge + Brent e Câmbio,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,30,47.14948424364134,116.26826590077408,-111.83107610276413,264.94598323299977,110.00203254426228,0.5666666666666667,1,0.003382149060705266,0.0,26.266666666666666
H1,Ridge + Brent e Câmbio,Segmento=DISTRIBUIÇÃO,30,561.7582394706819,176.08650255446264,134.17653659831655,817.9274803650165,561.7582394706819,1.0,0,0.017136213446422566,0.0,15.233333333333333
